FilePath,ID,AuthorsNote,StrideSpeed,StrideLengthFR,StepLengthFR,StepWidthFR,StrideLengthFL,StepLengthFL,StepWidthFL,StrideLengthBR,StepLengthBR,StepWidthBR,StrideLengthBL,StepLengthBL,StepWidthBL,TemporalSymmetryF,TemporalSymmetryB,DutyFactorF,DutyFactorB,AngularVelocity,NoseLateralDisplacementBR,NoseLateralDisplacementPhaseOffsetBR,TailLateralDisplacementBR,TailLateralDisplacementPhaseOffsetBR
1579\1579_20260627_2025-06-27-171609-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1579,Training video,0.109346041,0.00619993789301743,0.159590739207432,0.284863291689451,0.00596176658853495,0.160151837404352,0.29176352960529,0.0424113275248341,0.384610637497116,0.249361443772135,0.00270104466866158,0.392650220153627,0.257569875826622,0.038710711,0.021421385,59.46674085,61.76874066,-2.73e-07,0.00167899575092653,0.529361052,0.0131235086433508,0.526515292
1579\1579_20260628_2025-06-28-165902-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1579,Training video,0.073538504,0.00299653105248376,0.180459614294414,0.251220452119406,0.0026603879181789,0.181762791167425,0.254868877204046,0.0238865810823622,0.433653613961531,0.230011614490234,0.00152685470670042,0.432088031330054,0.232412854506867,0.02243439,0.021986034,57.05598191,58.33599805,-1.65e-06,0.000923801329254566,0.532590059,0.00321586142978727,0.531092651
1579\1579_20260629A_2025-06-29-142420-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1579,Training video,0.060686253,0.00367943500915084,0.200113126129939,0.289500869314503,0.00299230663307973,0.201797480967415,0.293292844187082,0.0094297750157466,0.562055082279228,0.241008220667974,0.00150570016309151,0.561129146704847,0.244249695334787,0.010253006,0.027110646,56.87810608,57.46127764,-6.74e-07,0.00107582857043763,0.531901807,0.0023387182674429,0.52614215
1579\1579_20260629B_2025-06-29-184336-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1579,Training video,0.10261684,0.00461533472566766,0.203583797589284,0.222418014637579,0.00442975445774454,0.20313877558325,0.228257216298893,0.0065517087400908,0.570723004359096,0.150346464670462,0.00217568309017515,0.571598345732516,0.150434410218673,0.013259465,0.017099611,59.52746087,60.31676313,9.23851457422777e-07,0.001456037739061,0.53282382,0.00299810410284815,0.533517014
1579\1579_20250713_2025-07-13-145337-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1579,60 DPI,0.047270345,0.0143433719329823,0.207272082459034,0.270758225264903,0.01752836384584,0.20351801578428,0.285250570065478,0.00222471096346076,0.592872879119644,0.509371697819888,0.0025249059257974,0.59680303038711,0.50968305032605,0.000783414,0.03845162,55.2599029,55.30319429,-3.74e-06,0.0282998018843613,0.521527261,0.00202797202134304,0.523294192
1778\1778_20260413_2026-04-13-143402-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1778,Training video,,,,,,,,,,,,,,,,,,,,,,
1778\1778_20260414_2026-04-14-150621-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1778,Training video,,,,,,,,,,,,,,,,,,,,,,
1778\1778_20260415_2026-04-15-150900-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1778,Training video,,,,,,,,,,,,,,,,,,,,,,
1778\1778_20260416_2026-04-16-134335-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1778,Training video,,,,,,,,,,,,,,,,,,,,,,
1778\1778_20260417_2026-04-17-162343-0000DLC_resnet50_Wheel Running ProjectAug6shuffle1_100000_filtered.csv,1778,Training video,,,,,,,,,,,,,,,,,,,,,,
