FilePath,ID,AuthorsNote,StrideSpeed,StrideLengthFR,StepLengthFR,StepWidthFR,StrideLengthFL,StepLengthFL,StepWidthFL,StrideLengthBR,StepLengthBR,StepWidthBR,StrideLengthBL,StepLengthBL,StepWidthBL,TemporalSymmetryF,TemporalSymmetryB,DutyFactorF,DutyFactorB,AngularVelocity,NoseLateralDisplacementBR,NoseLateralDisplacementPhaseOffsetBR,TailLateralDisplacementBR,TailLateralDisplacementPhaseOffsetBR,StrideCountPerFrameFR,StrideCountPerFrameFL,StrideCountPerFrameBR,StrideCountPerFrameBL
1559\1559_20250716_2025-07-16-154556-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,60 DPI,-0.093516952061699,0.248154491197443,0.214664788525082,0.252844876914277,0.193507806987631,0.225122052474521,0.192399743765552,0.280807177801418,0.485158313158629,0.21023116403556,0.309481363285261,0.477881556932371,0.158909956008739,-0.014097297604098,-0.00744688569788988,53.9290633608815,58.0069635751454,1.82903486844821e-05,0.00780398618475186,0.534922664143012,0.00220424843372915,0.530815682740572,0.00390266299357208,0.0094811753902663,0.00166054484236302,0.00162993572084481
1559\1559_20250712_save_2025-07-12-155601_h.264DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1559,Training video,-0.264836996848998,0.140326198850255,0.197445478472193,0.148808534744031,0.127137565552809,0.20399123616043,0.144822430091344,0.214311038024284,0.430475846617312,0.192046935836926,0.19231282707629,0.426330219958846,0.169026868050162,-0.00729059045985298,-0.0132357290742383,56.4593880695576,59.537750385208,-7.62340463102404e-08,0.00594122142425416,0.524103878676763,0.0108181694983607,0.508926419063642,0.00916795069337442,0.00871670702179177,0.00504072198987453,0.00576711424169051
1560\1560_20250712_2025-07-12-172744DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1560,Training video,-0.168552355563203,0.101122159737844,0.218028836914243,0.127900376417767,0.122416558501089,0.212037545354451,0.14678378447318,0.138273336923551,0.47665998439526,0.178833931981656,0.166528834828812,0.445521441822106,0.168098391545325,-0.00750733533439004,-0.0113948130057821,56.6416547592668,60.8549640485669,9.68791001447091e-07,0.0144098584233913,0.537968279792947,0.0125553429283146,0.514066131683529,0.0151294022357894,0.0146785766136119,0.00916169357611694,0.00900887133131099
1560\1560_20250709_2025-07-09-125003-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1560,Training video,0.0493379592166912,0.0956761868582314,0.242463237504019,0.288313750266914,0.109099294143289,0.252964758072922,0.222223480818144,0.246921219898933,0.37162850666156,0.273943700179806,0.263595502213257,0.383992659312344,0.262667621689456,0.00633939413054097,-0.0131092015304523,51.9106403182763,52.2045220124756,-2.69993700657645e-06,0.00896547285606384,0.536265306243709,0.0635931209488657,0.532408728659933,0.0189508669100673,0.0217587059382112,0.0132860721360861,0.0154226493557524
1560\1560_20250714_2025-07-14-114322-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1560,Training video,-0.655564479824437,0.221490800584557,0.254884915529054,0.221944122882939,0.207006824959446,0.244775476217927,0.171287942025879,0.292063304581606,0.584254626792502,0.249779261132038,0.353221585572068,0.551735262226426,0.160234288427987,-0.00336838365411548,-0.000544149750011126,60.3879224980195,64.4503399788751,-4.12419355009069e-07,0.055473921744532,0.527812910730244,0.0177759308094567,0.518789048849178,0.0228660549247425,0.0207865724848165,0.0121880776340111,0.0115774359651439
1560\1560_20250710_2025-07-10-121927-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1560,Training video,-0.00536597951742219,0.13507121384457,0.238055907208658,0.185160650346488,0.0738762450568627,0.217942896729835,0.247190082771185,0.362928431965944,0.359180489829178,0.25170619231677,0.278707863389737,0.295187690805,0.23679767562419,-0.00374391882666589,0.00643393560326227,55.6062143867529,55.70930799415,5.28960264600231e-06,0.0105607699054809,0.540690060229137,0.0354802619780547,0.521204158236726,0.0065052865442863,0.00569811954063407,0.0124591421652854,0.00704073396255065
1560\1560_20250711_2025-07-11-122622-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1560,Training video,-0.0387276763179821,0.126528658841205,0.237773688770893,0.173741973642697,0.13573969137998,0.215394634087289,0.19983506171046,0.172795862037096,0.385170675237346,0.215720121876432,0.202228001411523,0.372268629500046,0.259148414788414,0.00335073977371631,-7.03432751829212e-05,55.9605175576733,57.6976151435947,4.22935404733344e-06,0.0117734402278931,0.545352484171027,0.0252560610783274,0.513761291285384,0.0110232641200058,0.00962709222851762,0.0053087000990308,0.00588502686819163
1560\1560_20250715_2025-07-15-125758-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1560,Training video,-0.0729485220839668,0.340836488409953,0.638428794027031,0.393095835024988,0.513212895576088,0.46309164071631,0.341720139409243,0.375471404210349,1.59090285970265,0.438150419719835,0.891146243819957,1.41103014841208,0.577831229212726,0.0127987221755781,0.00693146648472802,28.6930566246159,29.7116181231675,2.37157228511884e-06,0.0701240712951237,0.53649390333602,0.00943700244098944,0.54105024543703,0.00521179145783267,0.00280860915089517,0.00175684965714991,0.00158057711629875
1560\1560_20250713_2025-07-13-155015-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1560,Training video,-0.383947674131876,0.171441077912734,0.232259606745859,0.174302326543361,0.152253465552986,0.226184795179709,0.138068744092791,0.238396303530414,0.532627840514009,0.232867463587365,0.253429564220751,0.478922470107976,0.14212947902926,-0.00881765605954509,-0.0103374436978513,59.0566919124235,62.22708928421,2.56301854683374e-06,0.0241772382479517,0.525757889823265,0.0125580686085928,0.530354248090296,0.016885812088863,0.0170236554528537,0.00811744254612009,0.0102004089353132
1560\1560_20250717_2025-07-17-145702-0000DLC_resnet50_Wheel_runningJul16shuffle1_100000_filtered.csv,1560,60 DPI,-0.0127702548742111,0.134808371215787,0.248219544313476,0.136938186226443,0.152548342748812,0.23947658148119,0.17032000566349,0.106775588507273,0.387588756252662,0.214339258372703,0.112951223533734,0.439526441362582,0.219149409621017,6.77144346861466e-06,-0.0122978790424192,60.0677637947725,61.9815012161689,5.11271548435036e-07,0.00604001866570856,0.533807376442117,0.00126863143628631,0.554767823336369,0.00191170369406233,0.00521447688465512,0.00136666476852115,0.00263571062500508
